#Zeit (min)         Höhendifferenz (logarithmisch)          delta Höhendifferenz
0                   1.53                                    0.00030
1                   1.49                                    0.00032
2                   1.45                                    0.00036
3                   1.41                                    0.00039
4                   1.37                                    0.00043
5                   1.33                                    0.00047
6                   1.29                                    0.00052
7                   1.25                                    0.00056
8                   1.21                                    0.00062
9                   1.17                                    0.00068
10                  1.13                                    0.00074
11                  1.09                                    0.00081
12                  1.05                                    0.00089
13                  1.01                                    0.00098
14                  0.97                                    0.00108
15                  0.93                                    0.00118
16                  0.90                                    0.00127
17                  0.86                                    0.00139
18                  0.82                                    0.00152
19                  0.78                                    0.00167
20                  0.75                                    0.00179
