#   Maxwellsches Rad
#   Periodendauer (sek)     Höhe (cm)
    10.8                    76
    10.15                   70.3
    9.87                    66.2
    9.81                    61.5
    9.40                    57.5
    8.47                    53.9
    8.51                    50.4
    7.86                    47.5
    7.63                    44.6
    7.63                    42.4
    7.33                    40
    7.01                    37.9
    6.54                    35.6
    6.57                    34.1
    5.75                    32.3
