#   Maxwellsches Rad
#   Höhe (cm)       Periodendauer (sek)
    74.5            9.32
    70              9.14
    66              9.08
    63              8.76
    59              7.81
    56              7.96
    53.5            7.53
    51              7.07
    49              6.92
    46.5            6.64
    45              6.4
    43              5.84
    41.5            5.62
    40              5.68
    38.5            5.42
    37.5            5.33
    36              4.7
    35.5            6.31                             
